Date,Country,Population,Total Tests,Total Cases,Total Deaths,Total Recovered,Serious or Critical,Active Cases
2020-10-12,Mauritania,4683177,82400,7554,163,7297,3,94
2020-10-12,Cabo Verde,557686,87076,7155,75,6075,23,1005
2020-10-12,Angola,33144334,85213,6488,219,2744,15,3525
2020-10-12,Guadeloupe,400144,59202,6483,77,2199,35,4207
2020-10-12,Lithuania,2711221,844742,6248,103,2793,15,3352
2020-10-12,Cuba,11324638,699646,6000,123,5574,1,303
2020-10-12,Malawi,19265628,56034,5824,180,4659,4,985
2020-10-12,Eswatini,1163545,45570,5683,113,5322,11,248
2020-10-12,Djibouti,992018,80269,5426,61,5360,,5
2020-10-12,Nicaragua,6646687,,5264,153,4225,,886
2020-10-12,Hong Kong,7514161,3473928,5194,105,4921,8,168
2020-10-12,Congo,5555444,,5118,90,3887,,1141
2020-10-12,Trinidad and Tobago,1400777,33013,5116,92,3303,14,1721
2020-10-12,Bahamas,394303,24502,5078,107,2900,112,2071
2020-10-12,Equatorial Guinea,1415483,62944,5066,83,4954,1,29
2020-10-12,Suriname,588115,15708,5058,107,4862,5,89
2020-10-12,Rwanda,13040499,521137,4905,32,3877,,996
2020-10-12,CAR,4853142,32711,4854,62,1924,2,2868
2020-10-12,Sri Lanka,21438760,328504,4844,13,3317,,1514
2020-10-12,Syria,17617650,,4774,228,1331,,3215
2020-10-12,Réunion,897119,35419,4624,17,3994,17,613
2020-10-12,Aruba,106895,34905,4197,33,3790,4,374
2020-10-12,Mayotte,274627,13000,4030,43,2964,4,1023
2020-10-12,Estonia,1326790,233241,3883,68,2967,1,848
2020-10-12,Somalia,16014494,,3864,99,3089,,676
2020-10-12,Malta,441878,282095,3844,43,2981,9,820
2020-10-12,Thailand,69849867,977854,3641,59,3454,1,128
2020-10-12,Gambia,2435231,18043,3636,118,2593,,925
2020-10-12,Iceland,341870,310144,3582,10,2550,3,1022
2020-10-12,Guyana,787629,16080,3521,104,2391,16,1026
2020-10-12,Botswana,2364784,238334,3515,20,853,1,2642
2020-10-12,Mali,20410113,60751,3296,132,2533,,631
2020-10-12,French Polynesia,281368,26355,3251,11,2138,8,1102
2020-10-12,Andorra,77300,137457,2995,57,1928,25,1010
2020-10-12,South Sudan,11230588,12044,2787,55,1290,,1442
2020-10-12,Latvia,1880145,364012,2765,40,1325,4,1400
2020-10-12,Belize,399635,17663,2531,37,1548,5,946
2020-10-12,Benin,12210302,203831,2411,41,1973,,397
2020-10-12,Guinea-Bissau,1980815,,2389,41,1782,5,566
2020-10-12,Uruguay,3477154,266427,2313,51,1950,1,312
2020-10-12,Sierra Leone,8021921,,2306,72,1736,,498
2020-10-12,Burkina Faso,21060169,,2294,63,1571,,660
2020-10-12,Yemen,30007426,,2052,596,1329,,127
2020-10-12,Cyprus,1209845,415095,2047,25,1444,2,578
2020-10-12,Togo,8332196,101580,1949,49,1461,,439
2020-10-12,New Zealand,5002100,1002790,1871,25,1801,,45
2020-10-12,Martinique,375182,39379,1851,22,98,14,1731
2020-10-12,Lesotho,2147047,20909,1805,42,961,,802
2020-10-12,Liberia,5090438,30332,1371,82,1250,2,39
2020-10-12,Chad,16554598,,1308,92,1117,,99
2020-10-12,Niger,24442818,28347,1202,69,1124,9,9
2020-10-12,Vietnam,97585632,1246480,1110,35,1025,,50
2020-10-12,Sao Tome and Principe,220290,5374,929,15,895,,19
2020-10-12,San Marino,33951,7895,741,42,682,3,17
2020-10-12,Channel Islands,174315,127554,737,48,623,2,66
2020-10-12,Sint Maarten,43013,4701,710,22,622,6,66
2020-10-12,Turks and Caicos,38864,3671,696,6,672,1,18
2020-10-12,Curaçao,164284,9163,585,1,332,2,252
2020-10-12,Papua New Guinea,8994081,26620,565,7,537,,21
2020-10-12,Taiwan,23829066,96859,529,7,489,,33
2020-10-12,Burundi,11987326,37522,525,1,472,,52
2020-10-12,Tanzania,60199092,,509,21,183,7,305
2020-10-12,Comoros,874724,,495,7,475,,13
2020-10-12,Gibraltar,33688,53530,486,,419,2,67
2020-10-12,Faeroe Islands,48916,140108,477,,463,,14
2020-10-12,Saint Martin,38850,5170,466,8,309,11,149
2020-10-12,Eritrea,3560162,,414,,372,,42
2020-10-12,Mauritius,1272370,253248,404,10,359,,35
2020-10-12,Isle of Man,85161,14495,346,24,316,,6
2020-10-12,Mongolia,3293016,77797,318,,310,1,8
2020-10-12,Bhutan,773997,151215,309,,288,,21
2020-10-12,Cambodia,16783742,154364,283,,278,,5
2020-10-12,Monaco,39321,51953,236,2,213,1,21
2020-10-12,Cayman Islands,65939,41917,221,1,211,,9
2020-10-12,Barbados,287475,28156,208,7,186,,15
2020-10-12,Bermuda,62212,72390,184,9,172,,3
2020-10-12,Caribbean Netherlands,26292,2857,148,2,78,,68
2020-10-12,Liechtenstein,38159,900,148,1,124,,23
2020-10-12,Seychelles,98519,5200,148,,144,,4
2020-10-12,Brunei,438660,62395,146,3,143,,0
2020-10-12,Antigua and Barbuda,98158,3035,111,3,97,,11
2020-10-12,British Virgin Islands,30288,5193,71,1,70,,0
2020-10-12,St. Barth,9886,2668,65,,37,,28
2020-10-12,St. Vincent Grenadines,111040,5621,64,,64,,0
2020-10-12,Macao,651814,4238,46,,46,,0
2020-10-12,Fiji,898282,11318,32,2,28,1,2
2020-10-12,Dominica,72037,2612,32,,24,,8
2020-10-12,Saint Lucia,183865,8801,29,,27,,2
2020-10-12,Timor-Leste,1325416,9043,29,,28,,1
2020-10-12,New Caledonia,286271,14585,27,,27,,0
2020-10-12,Grenada,112671,6252,25,,24,,1
2020-10-12,Laos,7305085,58078,23,,22,,1
2020-10-12,Vatican City,802,,19,,12,,7
2020-10-12,Saint Kitts and Nevis,53305,2658,19,,18,,1
2020-10-12,Greenland,56798,8879,16,,14,,2
2020-10-12,Saint Pierre Miquelon,5786,2144,16,,12,,4
2020-10-12,Montserrat,4993,483,13,1,12,,0
2020-10-12,Falkland Islands,3508,2682,13,,13,,0
2020-10-12,Western Sahara,601379,,10,1,8,,1
2020-10-12,Anguilla,15041,1329,3,,3,,0
2020-10-12,Solomon Islands,691518,96,2,,,,2
